size,ave,sd,min,max
392,2.190275,0.011278,2.160610,2.223984
783,2.190081,0.011361,2.159862,2.224068
1175,2.190283,0.011408,2.159862,2.224068
1565,2.190202,0.011407,2.159862,2.224068
2335,2.190185,0.011387,2.158219,2.224226
2727,2.190185,0.011389,2.158219,2.224226
3119,2.190145,0.011432,2.158219,2.224226
3889,2.190168,0.011405,2.158028,2.224226
4111,2.189994,0.011396,2.158028,2.224226
4670,2.190133,0.011386,2.158028,2.225707
5061,2.190170,0.011400,2.158028,2.225707
5844,2.190169,0.011376,2.155458,2.225707
6236,2.190173,0.011356,2.155458,2.225707
6627,2.190191,0.011344,2.155458,2.228526
7017,2.190191,0.011333,2.155458,2.228526
7801,2.190187,0.011342,2.155458,2.229725
8191,2.190196,0.011332,2.155458,2.229725
8583,2.190205,0.011333,2.155458,2.229725
9355,2.190213,0.011327,2.155458,2.229725
9747,2.190212,0.011332,2.155458,2.230664
10137,2.190218,0.011331,2.155458,2.230664

