<pre>size,ave,sd,min,max,times
156,2.641201,-nan,2.174209,2.219175,1
627,2.641132,-nan,2.169347,2.219175,4
1092,2.641119,-nan,2.169347,2.219175,7
1555,2.641067,-nan,2.169347,2.219175,10
2025,2.641065,-nan,2.169347,2.219175,15
2644,2.641060,-nan,2.169347,2.219175,20
3114,2.641070,-nan,2.169347,2.219225,23
3585,2.641053,-nan,2.169347,2.219225,26
4058,2.641061,-nan,2.169347,2.219225,29
4522,2.641086,-nan,2.169347,2.219225,32
5142,2.641106,-nan,2.168278,2.219225,36
5614,2.641095,-nan,2.168278,2.219225,39
6086,2.641095,-nan,2.168278,2.219225,42
6556,2.641099,-nan,2.168278,2.219225,45
7026,2.641071,-nan,2.168278,2.219225,48
7655,2.641069,-nan,2.168278,2.219225,52
8126,2.641064,-nan,2.168278,2.219225,55
8598,2.641062,-nan,2.168278,2.219225,58
9070,2.641064,-nan,2.168278,2.219225,63
9533,2.641057,-nan,2.168278,2.219225,66
10005,2.641068,-nan,2.168278,2.219225,69
10633,2.641072,-nan,2.168278,2.219225,73
11105,2.641065,-nan,2.168278,2.219225,76
11576,2.641052,-nan,2.168278,2.219225,79
12049,2.641056,-nan,2.168278,2.219225,82
12512,2.641049,-nan,2.168278,2.219225,85
13142,2.641054,-nan,2.168278,2.219225,89
13614,2.641049,-nan,2.168278,2.219225,92
14086,2.641058,-nan,2.168278,2.219225,95
14557,2.641062,-nan,2.168278,2.219225,98
15021,2.641058,-nan,2.168278,2.219225,101
15649,2.641062,-nan,2.168278,2.219225,107
16123,2.641066,-nan,2.168278,2.219225,110
16592,2.641069,-nan,2.168278,2.219225,113
17063,2.641074,-nan,2.168278,2.219225,116
17526,2.641079,-nan,2.168278,2.219225,119
18156,2.641079,-nan,2.168278,2.219225,123
18626,2.641082,-nan,2.168278,2.219225,126
19095,2.641082,-nan,2.168278,2.219225,129
19567,2.641091,-nan,2.168278,2.219225,132
20039,2.641098,-nan,2.168278,2.219225,135
