size,ave,sd,min,max,times
312,2.641972,-nan,2.165362,2.219184,1
625,2.641943,-nan,2.164132,2.219437,2
1239,2.641942,-nan,2.163395,2.225396,4
1553,2.642036,-nan,2.163395,2.225396,5
2097,2.641873,-nan,2.163395,2.225396,7
2621,2.641862,-nan,2.163395,2.226673,10
3120,2.642024,-nan,2.163374,2.226673,12
3748,2.642056,-nan,2.162929,2.226673,15
4060,2.642070,-nan,2.162929,2.226673,16
4688,2.642081,-nan,2.162929,2.226673,18
5001,2.642081,-nan,2.162929,2.226673,19
5628,2.642058,-nan,2.160305,2.226673,21
6254,2.642099,-nan,2.160305,2.226673,23
6566,2.642109,-nan,2.160305,2.226673,24
7192,2.642091,-nan,2.160305,2.226673,26
7505,2.642094,-nan,2.160305,2.226673,27
8120,2.642096,-nan,2.160305,2.226673,29
8749,2.642095,-nan,2.160305,2.226673,31
9061,2.642116,-nan,2.160305,2.226673,32
9679,2.642112,-nan,2.160305,2.226673,34
10306,2.642105,-nan,2.160305,2.226673,36
10619,2.642104,-nan,2.160305,2.226673,37
11247,2.642116,-nan,2.160305,2.226673,39
11550,2.642111,-nan,2.160022,2.226673,40
12176,2.642117,-nan,2.160022,2.226673,42
12791,2.642089,-nan,2.160022,2.226673,44
13105,2.642103,-nan,2.160022,2.226673,45
13722,2.642090,-nan,2.160022,2.226673,47
14035,2.642094,-nan,2.160022,2.226673,48
14663,2.642087,-nan,2.160022,2.226673,50
15293,2.642077,-nan,2.160022,2.226673,52
15515,2.642059,-nan,2.160022,2.226673,53
16038,2.642062,-nan,2.160022,2.226673,56
16550,2.642085,-nan,2.160022,2.226673,58
17178,2.642080,-nan,2.160022,2.226673,61
17794,2.642084,-nan,2.160022,2.226673,63
18107,2.642085,-nan,2.160022,2.226673,64
18735,2.642081,-nan,2.160022,2.226673,66
19049,2.642076,-nan,2.160022,2.226673,67
19673,2.642087,-nan,2.160022,2.226673,69
20300,2.642074,-nan,2.160022,2.226673,71

